date,retweets,favorites,text,permalink
08/09/18,0,0,“Mechanical problems” covers a lot of ground.,https://twitter.com/DelayMta/status/1027559301303492609
08/09/18,1,2,Southbound 4 trains are running with delays while we remove a train from service with mechanical problems at 161 St-Yankee Stadium.,https://twitter.com/NYCTSubway/status/1027554587170025472
08/09/18,0,1,"Hi, Tim. There was a train with mechanical problems at 57 St earlier which caused a temporary delay. We were able to get that train moving. Sorry about that - hope you're able to make it to your destination in a timely manner. ^JL",https://twitter.com/NYCTSubway/status/1027542426087575554
08/09/18,0,0,"Hi, Melissa. There was an R train at 57 St with a mechanical problem. This held back service. That train has just moved out of 57 St and service has resumed. ^JP",https://twitter.com/NYCTSubway/status/1027539420977811456
08/09/18,2,3,Northbound 6 trains are running with delays while we remove a train from service with mechanical problems at 14 St-Union Sq.,https://twitter.com/NYCTSubway/status/1027517652326117377
08/08/18,0,0,There is a northbound A train approaching this location at this time. There are delays following an earlier incident involving a train with mechanical problems at 125 St. ^JZ,https://twitter.com/NYCTSubway/status/1027325097156272128
08/08/18,0,0,Good Evening. The next northbound A train is leaving 59 St at this time. There are delays following an earlier incident involving a train with mechanical problems at 125 St. ^JZ,https://twitter.com/NYCTSubway/status/1027323476544237569
08/08/18,0,0,"Hi, Alexis. There are delays on the A, B, C and D trains due to a train with mechanical problems at 1225 St. ^DG",https://twitter.com/NYCTSubway/status/1027321668178460672
08/08/18,3,7,Southbound A and D trains are running local from 125 St to 59 St because of a train with mechanical problems at 125 St.,https://twitter.com/NYCTSubway/status/1027319752442748928
08/08/18,0,0,It is helpful for customers to know this bc we aren’t sure if this is a larger mechanical or signal problem thats brewing like yesterday or something that will be resolved within minutes. Countdown clocks aren’t reliable during delays.,https://twitter.com/joasqueeniebee/status/1027309604538073088
08/08/18,4,3,Southbound 4 and 5 trains are running local from 42 St to 14 St because of a train with mechanical problems at 42 St.,https://twitter.com/NYCTSubway/status/1027270768353308672
08/08/18,0,0,"Am I the ONLY one who’s noticed that these “signal troubles”, “brakes activated troubles” AND “mechanical problems” NEVER involve the 1, 2, 3, 4, 5, 6, 7? Why is that. Speak up so the entire class can hear you.",https://twitter.com/ImpeachDaOrange/status/1027227976646180866
08/08/18,0,5,"Oh look at you guys, going for an all-time record of subway fails this week! Delays, signal problems, mechanical failures, sweltering platforms and broken metrocard kiosks. You get the medal of unbelievable consistency. @ NYCMayor @ MTA @ NYGovCuomo # nycsubway",https://twitter.com/oldtimeyyo/status/1027196957591318528
08/08/18,0,1,"@ NYCTSubway @ MTA you realize mechanical problems are not a reasonable excuse for delays when they're the result of your own neglect to maintain your equipment, right? So instead of thanking me for the patience I didn't offer, how about you own up.",https://twitter.com/iamChrisVolpe/status/1027148192343879682
08/08/18,2,3,Southbound 5 trains are running local from 125 St to Brooklyn Bridge-City Hall while we remove a train from service with mechanical problems at Parkchester. Expect delays on the 5 and 6 trains.,https://twitter.com/NYCTSubway/status/1027137995470766081
08/08/18,0,0,"Hi, Mallory. We do apologize for the delay in response. A train service has resumed following an earlier incident involving a train with mechanical problems at Jay St. ^GES",https://twitter.com/NYCTSubway/status/1027056690393481216
08/08/18,0,0,Good morning. We do apologize for the delay in response. There was an earlier incident involving a train with mechanical problems at Jay St which resulted in service changes and delays. ^GES,https://twitter.com/NYCTSubway/status/1027054241779789824
08/07/18,0,0,Good evening. Apologies for the delay response. There was an incident regarding a train with mechanical problems a Jay St-MetroTech causing delays and service changes in both directions. A and C train service has resumed. ^GES,https://twitter.com/NYCTSubway/status/1027038282750803974
08/07/18,0,0,"Hi, Amy. We do apologize for the delayed response. There was an earlier incident involving a train with mechanical problems at Jay St cause delays and service changes in both directions. Service has resumed with delays. ^GES",https://twitter.com/NYCTSubway/status/1027023585670516736
08/07/18,0,0,Good evening. There is current service changes and delays along the A and C line because of a train with mechanical problems at Jay St. See details at http://mta.info ^GES,https://twitter.com/NYCTSubway/status/1027015684709081088
08/07/18,0,0,"Good evening Annie. No, A trains are stopping along the F line from 34 St-Herald Sq to Jay St-MetroTech because of a train with mechanical problems at Jay St-MetroTech, we apologize for any inconvenience.^EE",https://twitter.com/NYCTSubway/status/1027014831520538624
08/07/18,1,2,Some southbound A and C trains are stopping along the F line from W 4 St to Jay St because of a train with mechanical problems at Jay St.,https://twitter.com/NYCTSubway/status/1027005421473738752
08/07/18,0,0,Good Evening. There was a train experiencing a mechanical problem which caused a delay in southbound service. The train has proceeded and service has resumed with delays. ^JZ,https://twitter.com/NYCTSubway/status/1026977773204779009
08/07/18,0,1,. @ NYCTSubway y’all got some serious shit to fix. These “mechanical problems” on the J & M are ruining tens of thousands of NYC taxpayers morning. AND you’re affecting the commercial efficiency of our city,https://twitter.com/HookdOnSonics/status/1026815160281903105
08/07/18,0,1,"Good morning, when brakes are automatically activated it can be a variety of reasons, such as a signal issue, debris on the tracks, customer pulling the cord, mechanical problem etc. Initially, we're not usually certain (1/2)",https://twitter.com/NYCTSubway/status/1026790789249224704
08/06/18,0,1,Good Evening. There is a delay following an earlier incident at Canal St involving a train with mechanical problems. We do apologize for the inconvenience. ^JZ,https://twitter.com/NYCTSubway/status/1026588839098437634
08/06/18,0,1,The train was experiencing a mechanical problem at this station that the crew was able to overcome. We do apologize for the inconvenience. ^JZ,https://twitter.com/NYCTSubway/status/1026579865993129986
08/06/18,0,0,"Hi, Claire. When a train's brakes are automatically activated, we have to investigate why. It could be a mechanical problem or that there's something hazardous on the track or because someone pulled the emergency cord on the train, etc. ^JL",https://twitter.com/NYCTSubway/status/1026458917247877122
08/06/18,0,0,"Courtney, there is also a train with mechanical problems at W 4 St(on an F train). This is causing congestion along 6 Av and held an M train in the station at 5 Av. ^JP",https://twitter.com/NYCTSubway/status/1026457857087229952
